Kilifi-Coast-62_S50_L001_paired_trim_R2	81.0	76.0	25.0	39.0	61.0	23.0	23.0	18.0	13.0	19.0	16.0	13.0	19.0	30.0	26.0	16.0	17.0	14.0	17.0	12.0	29.0	21.0	14.0	19.0	25.0	17.0	41.0	28.0	40.0	40.0	43.0	46.0	44.0	87.0	88.0	79.0	76.0	119.0	135.0	137.0	151.0	184.0	559.0	10407.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-63_S51_L001_paired_trim_R1	2.0	3.0	5.0	1.0	2.0	5.0	7.0	24.0	64.0	23.0	18.0	15.0	16.0	15.0	13.0	17.0	21.0	14.0	22.0	14.0	14.0	10.0	12.0	7.0	11.0	14.0	12.0	7.0	13.0	12.0	19.0	13.0	6.0	14.0	11.0	11.0	12.0	20.0	18.0	19.0	17.0	26.0	129.0	17572.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-63_S51_L001_paired_trim_R2	73.0	89.0	29.0	38.0	70.0	37.0	26.0	14.0	6.0	15.0	12.0	15.0	29.0	24.0	23.0	24.0	25.0	22.0	32.0	20.0	30.0	35.0	22.0	26.0	33.0	41.0	56.0	51.0	49.0	83.0	97.0	56.0	68.0	111.0	116.0	84.0	86.0	182.0	218.0	277.0	329.0	367.0	700.0	14560.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-64_S52_L001_paired_trim_R1	4.0	1.0	1.0	1.0	4.0	6.0	4.0	1.0	4.0	1.0	2.0	2.0	1.0	7.0	2.0	5.0	1.0	4.0	7.0	5.0	3.0	5.0	1.0	6.0	8.0	5.0	5.0	10.0	10.0	9.0	13.0	6.0	5.0	10.0	10.0	15.0	7.0	14.0	4.0	15.0	14.0	58.0	13087.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-64_S52_L001_paired_trim_R2	11.0	4.0	10.0	12.0	2.0	8.0	8.0	9.0	7.0	4.0	7.0	3.0	6.0	11.0	17.0	28.0	21.0	12.0	6.0	18.0	21.0	23.0	36.0	42.0	23.0	26.0	33.0	44.0	67.0	85.0	86.0	53.0	68.0	99.0	86.0	104.0	111.0	179.0	152.0	223.0	191.0	216.0	418.0	10793.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-65_S53_L001_paired_trim_R1	1.0	1.0	5.0	1.0	2.0	1.0	25.0	99.0	39.0	24.0	24.0	21.0	18.0	24.0	10.0	18.0	16.0	20.0	11.0	6.0	11.0	13.0	12.0	11.0	14.0	16.0	15.0	7.0	10.0	21.0	17.0	4.0	6.0	9.0	10.0	12.0	15.0	12.0	19.0	15.0	26.0	72.0	14043.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-65_S53_L001_paired_trim_R2	105.0	120.0	36.0	42.0	93.0	36.0	16.0	16.0	9.0	12.0	5.0	16.0	14.0	18.0	20.0	47.0	30.0	20.0	11.0	14.0	31.0	38.0	47.0	49.0	25.0	42.0	56.0	48.0	62.0	105.0	90.0	64.0	90.0	133.0	113.0	112.0	97.0	201.0	202.0	231.0	234.0	261.0	482.0	11263.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-66_S54_L001_paired_trim_R1	1.0	0.0	0.0	2.0	1.0	4.0	2.0	15.0	86.0	36.0	19.0	14.0	16.0	16.0	7.0	19.0	14.0	13.0	16.0	7.0	9.0	8.0	11.0	14.0	12.0	10.0	5.0	8.0	6.0	11.0	8.0	8.0	3.0	10.0	7.0	9.0	7.0	9.0	7.0	15.0	12.0	15.0	59.0	11792.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kilifi-Coast-66_S54_L001_paired_trim_R2	97.0	78.0	25.0	34.0	82.0	29.0	14.0	9.0	9.0	13.0	5.0	10.0	14.0	12.0	28.0	31.0	27.0	15.0	15.0	9.0	15.0	16.0	22.0	28.0	20.0	18.0	33.0	21.0	40.0	85.0	89.0	52.0	65.0	95.0	103.0	94.0	89.0	172.0	153.0	215.0	252.0	208.0	466.0	9436.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
